Country Name,Country_Group,"Unemployment, total (% of total labor force) (modeled ILO estimate)",GDP growth (annual %),"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","Inflation, consumer prices (annual %)",Urban population (% of total population),Trade Openess (% of GDP),Gross capital formation (% of GDP),,
Afghanistan,Underdeveloped,14.1,-6.24017,17.748,38.5,10.6,26.616,72.88546961,16.7,,
Albania,Developing,11.588,4.856402,28.1,71.367,6.725203,63.799,84.69806392,24.81,,
Algeria,Developing,12.437,3.6,31.992,45.641,9.265516,74.772,51.20237574,34.85165,,
Argentina,Developing,6.805,4.95637,18.98,68.413,72.4,92.347,31.54770801,17.62505,,
Armenia,Developing,8.608,12.6,19.011,72.719,8.640911,63.573,101.4107783,21.63431,,
Australia,Developed,3.701,4.268946,8.233,79.521,6.594097,86.488,45.82177023,23.57351,,
Austria,Developed,4.992,4.80643,10.35,78.469,8.54687,59.256,124.3834515,27.54897,,
Azerbaijan,Developing,5.65,4.714802,13.583,76.589,13.85226,57.17,86.98227325,12.00371,,
"Bahamas, The",Developing,9.87,10.78201,24.724,78.164,5.605406,83.492,83.1741573,21.82561,,
Bahrain,Developing,1.326,4.8915,5.88,74.131,3.625741,89.743,166.3456175,25.59,,
Bangladesh,Developing,5.247,7.099829,15.938,60.881,7.696954,39.711,33.77996727,32.04728,,
Belarus,Developing,3.574,-4.65824,10.271,79.331,15.20968,80.326,120.0242076,21.59791,,
Belgium,Developed,5.558,3.014722,16.43,71.158,9.597512,98.153,191.9962892,27.06086,,
Bhutan,Developing,5.947,5.213868,29.592,72.256,5.639167,43.686,85.57121655,55.33987,,
Bolivia,Developing,3.552,3.60568,6.264,72.014,1.746329,70.83,67.75589878,16.61687,,
Botswana,Developing,23.615,5.486028,43.506,66.847,11.66557,72.224,85.60830278,26.79045,,
Brazil,Developing,9.231,3.016694,20.69,70.279,9.280106,87.555,38.81606598,18.08822,,
Bulgaria,Developing,4.268,3.926432,10.752,74.13,15.32526,76.363,138.8401468,23.37647,,
Burundi,Underdeveloped,0.919,1.848999,1.719,79.278,18.80088,14.417,28.31532036,13.38688,,
Cambodia,Underdeveloped,0.247,5.23981,0.782,79.45,5.343703,25.114,145.8736328,22.74525,,
Canada,Developed,5.28,3.819866,10.112,79.762,6.802801,81.752,67.55889637,25.36391,,
Central African Republic,Underdeveloped,6.337,0.50211,10.775,70.484,5.583167,43.12,45.23357,24.32666,,
Chad,Underdeveloped,1.104,2.804341,1.497,60.232,5.788027,24.063,89.72294937,14.97404,,
Chile,Developing,8.299,2.05874,18.411,67.788,11.64387,87.912,74.98778021,25.58838,,
China,Developing,4.98,2.989084,14.85,75.933,1.973576,63.56,38.35148208,43.14625,,
Colombia,Developing,10.547,7.288884,21.026,68.308,10.17723,82.05,48.07397786,19.74403,,
"Congo, Dem. Rep.",Underdeveloped,4.585,8.924448,8.652,66.263,9.3,46.837,93.72866708,31.46584,,
"Congo, Rep.",Underdeveloped,20.261,1.475356,41.72,68.54,3.043443,68.736,98.16133669,20.97921,,
Costa Rica,Developing,11.325,4.551492,30.748,68.32,8.274775,82.042,82.22753254,18.27051,,
Croatia,Developing,6.96,7.027226,18.067,69.311,10.78058,58.219,125.2138576,26.16917,,
Czechia,Developed,2.224,2.351004,6.746,77.126,15.10017,74.377,144.0114941,32.15506,,
Denmark,Developed,4.434,2.731174,10.542,80.322,7.696567,88.367,131.5431511,23.88054,,
Djibouti,Underdeveloped,26.367,3.728576,76.402,33.45,5.179808,78.38,340.1940146,12.42597,,
Dominican Republic,Developing,5.504,4.858324,12.893,67.332,8.811092,83.848,54.23152556,33.27641,,
Ecuador,Developing,3.761,6.186139,8.413,69.208,3.46617,64.57,61.62166239,22.29361,,
"Egypt, Arab Rep.",Developing,7.344,6.587846,19.022,46.471,13.89566,42.967,36.98310488,17.01881,,
El Salvador,Developing,2.999,2.799552,7.498,64.222,7.198616,74.767,88.15474233,23.20879,,
Estonia,Developed,5.571,-0.461,18.414,80.899,19.39826,69.609,174.5639942,30.71287,,
Ethiopia,Underdeveloped,3.493,5.321176,5.561,82.03,33.88988,22.661,26.59550123,25.34223,,
Fiji,Developing,4.481,20.01646,15.697,60.449,4.520193,58.229,117.5065594,19.12912,,
Finland,Developed,6.719,1.335467,14.13,79.631,7.123508,85.681,94.13205874,26.74766,,
France,Developed,7.308,2.454758,17.952,74.311,5.222367,81.509,75.79014361,26.47566,,
